quarantine_path,original_path,status,quarantine_md5,original_md5
"/Volumes/dotad/MUSIC/_quarantine_from_gemini/Future Disco/(2020) Future Disco: Poolside Sounds 9/Future Disco - (2020) Future Disco: Poolside Sounds 9 - 02. Contortions (Mixed) (1).flac","/Volumes/dotad/MUSIC/Future Disco/(2020) Future Disco: Poolside Sounds 9/Future Disco - (2020) Future Disco: Poolside Sounds 9 - 02. Contortions (Mixed) (1).flac","MISSING","MD5=9ecfde6977f1bdc26a36f2072879ace4",""
"/Volumes/dotad/MUSIC/_quarantine_from_gemini/The xx/(2012) Coexist/The xx - (2012) Coexist - 06. Sunset (1).flac","/Volumes/dotad/MUSIC/The xx/(2012) Coexist/The xx - (2012) Coexist - 06. Sunset (1).flac","MISSING","MD5=e86e58c3c144fcc373d58eaac7db4f43",""
"/Volumes/dotad/MUSIC/_quarantine_from_gemini/Alsarah & the Nubatones/(2025) Seasons of the Road/Alsarah & the Nubatones - (2025) Seasons of the Road - 04. Bye Bye (1).flac","/Volumes/dotad/MUSIC/Alsarah & the Nubatones/(2025) Seasons of the Road/Alsarah & the Nubatones - (2025) Seasons of the Road - 04. Bye Bye (1).flac","MISSING","MD5=938a0430e627cae92a8845a76b8d2a60",""
"Volumes/dotad/MUSIC/_quarantine_from_gemini/Alsarah & the Nubatones/(2025) Seasons of the Road/Alsarah & the Nubatones - (2025) Seasons of the Road - 01. Fa3el fi Eldawam (1).flac","/Volumes/dotad/MUSIC/Volumes/dotad/MUSIC/_quarantine_from_gemini/Alsarah & the Nubatones/(2025) Seasons of the Road/Alsarah & the Nubatones - (2025) Seasons of the Road - 01. Fa3el fi Eldawam (1).flac","MISSING","",""
"/Volumes/dotad/MUSIC/_quarantine_from_gemini/Alsarah & the Nubatones/(2025) Seasons of the Road/Alsarah & the Nubatones - (2025) Seasons of the Road - 03. Sudani (1).flac","/Volumes/dotad/MUSIC/Alsarah & the Nubatones/(2025) Seasons of the Road/Alsarah & the Nubatones - (2025) Seasons of the Road - 03. Sudani (1).flac","MISSING","MD5=00b4a6dc37af5dccc68b2b79c85f1de8",""
"Volumes/dotad/MUSIC/_quarantine_from_gemini/Alsarah & the Nubatones/(2025) Seasons of the Road/Alsarah & the Nubatones - (2025) Seasons of the Road - 06. Disco Star ديسكو ستار (2).flac","/Volumes/dotad/MUSIC/Volumes/dotad/MUSIC/_quarantine_from_gemini/Alsarah & the Nubatones/(2025) Seasons of the Road/Alsarah & the Nubatones - (2025) Seasons of the Road - 06. Disco Star ديسكو ستار (2).flac","MISSING","",""
"/Volumes/dotad/MUSIC/_quarantine_from_gemini/Alsarah & the Nubatones/(2025) Seasons of the Road/Alsarah & the Nubatones - (2025) Seasons of the Road - 07. Habibi (1).flac","/Volumes/dotad/MUSIC/Alsarah & the Nubatones/(2025) Seasons of the Road/Alsarah & the Nubatones - (2025) Seasons of the Road - 07. Habibi (1).flac","MISSING","MD5=1d6e1dbe4f51e267b326bcbf447f3297",""
"Volumes/dotad/MUSIC/_quarantine_from_gemini/Alsarah & the Nubatones/(2025) Seasons of the Road/Alsarah & the Nubatones - (2025) Seasons of the Road - 06. Disco Star ديسكو ستار (1).flac","/Volumes/dotad/MUSIC/Volumes/dotad/MUSIC/_quarantine_from_gemini/Alsarah & the Nubatones/(2025) Seasons of the Road/Alsarah & the Nubatones - (2025) Seasons of the Road - 06. Disco Star ديسكو ستار (1).flac","MISSING","",""
"/Volumes/dotad/MUSIC/_quarantine_from_gemini/Alsarah & the Nubatones/(2025) Seasons of the Road/Alsarah & the Nubatones - (2025) Seasons of the Road - 08. Tendo (Lullaby) (1).flac","/Volumes/dotad/MUSIC/Alsarah & the Nubatones/(2025) Seasons of the Road/Alsarah & the Nubatones - (2025) Seasons of the Road - 08. Tendo (Lullaby) (1).flac","MISSING","MD5=5ea9172856463185314d77a954c9161e",""
"Volumes/dotad/MUSIC/_quarantine_from_gemini/Alsarah & the Nubatones/(2025) Seasons of the Road/Alsarah & the Nubatones - (2025) Seasons of the Road - 05. Turn Around (1).flac","/Volumes/dotad/MUSIC/Volumes/dotad/MUSIC/_quarantine_from_gemini/Alsarah & the Nubatones/(2025) Seasons of the Road/Alsarah & the Nubatones - (2025) Seasons of the Road - 05. Turn Around (1).flac","MISSING","",""
"/Volumes/dotad/MUSIC/_quarantine_from_gemini/Alsarah & the Nubatones/(2025) Seasons of the Road/Alsarah & the Nubatones - (2025) Seasons of the Road - 09. Outro (1).flac","/Volumes/dotad/MUSIC/Alsarah & the Nubatones/(2025) Seasons of the Road/Alsarah & the Nubatones - (2025) Seasons of the Road - 09. Outro (1).flac","MISSING","MD5=ae5c79014b331966ba897c5d83c2f7ea",""
"olumes/dotad/MUSIC/_quarantine_from_gemini/Alsarah & the Nubatones/(2025) Seasons of the Road/Alsarah & the Nubatones - (2025) Seasons of the Road - 02. Men Ana (1).flac","/Volumes/dotad/MUSIC/olumes/dotad/MUSIC/_quarantine_from_gemini/Alsarah & the Nubatones/(2025) Seasons of the Road/Alsarah & the Nubatones - (2025) Seasons of the Road - 02. Men Ana (1).flac","MISSING","",""
"/Volumes/dotad/MUSIC/_quarantine_from_gemini/Alsarah & the Nubatones/(2016) Manara/Alsarah & the Nubatones - (2016) Manara - 12. Asilah (1).flac","/Volumes/dotad/MUSIC/Alsarah & the Nubatones/(2016) Manara/Alsarah & the Nubatones - (2016) Manara - 12. Asilah (1).flac","MISSING","MD5=ead160979d15459d56821b30b75d927a",""
"/Volumes/dotad/MUSIC/_quarantine_from_gemini/Alsarah & the Nubatones/(2016) Manara/Alsarah & the Nubatones - (2016) Manara - 04. Albahr (1).flac","/Volumes/dotad/MUSIC/Alsarah & the Nubatones/(2016) Manara/Alsarah & the Nubatones - (2016) Manara - 04. Albahr (1).flac","MISSING","MD5=4714ffc648b09ac6aa99386707326a8d",""
"Volumes/dotad/MUSIC/_quarantine_from_gemini/Alsarah & the Nubatones/(2016) Manara/Alsarah & the Nubatones - (2016) Manara - 09. Nar (1).flac","/Volumes/dotad/MUSIC/Volumes/dotad/MUSIC/_quarantine_from_gemini/Alsarah & the Nubatones/(2016) Manara/Alsarah & the Nubatones - (2016) Manara - 09. Nar (1).flac","MISSING","",""
"/Volumes/dotad/MUSIC/_quarantine_from_gemini/Alsarah & the Nubatones/(2016) Manara/Alsarah & the Nubatones - (2016) Manara - 05. Fulani Interlude 1 (1).flac","/Volumes/dotad/MUSIC/Alsarah & the Nubatones/(2016) Manara/Alsarah & the Nubatones - (2016) Manara - 05. Fulani Interlude 1 (1).flac","MISSING","MD5=1a610f999dc31930221b1eae97df2aa7",""
"/Volumes/dotad/MUSIC/_quarantine_from_gemini/Alsarah & the Nubatones/(2016) Manara/Alsarah & the Nubatones - (2016) Manara - 10. Manara (1).flac","/Volumes/dotad/MUSIC/Alsarah & the Nubatones/(2016) Manara/Alsarah & the Nubatones - (2016) Manara - 10. Manara (1).flac","MISSING","MD5=df93826b5e280fcbb9dcae740db69139",""
"Volumes/dotad/MUSIC/_quarantine_from_gemini/Alsarah & the Nubatones/(2016) Manara/Alsarah & the Nubatones - (2016) Manara - 06. 3yan T3ban (1).flac","/Volumes/dotad/MUSIC/Volumes/dotad/MUSIC/_quarantine_from_gemini/Alsarah & the Nubatones/(2016) Manara/Alsarah & the Nubatones - (2016) Manara - 06. 3yan T3ban (1).flac","MISSING","",""
"/Volumes/dotad/MUSIC/_quarantine_from_gemini/Alsarah & the Nubatones/(2016) Manara/Alsarah & the Nubatones - (2016) Manara - 08. Ya Watan (1).flac","/Volumes/dotad/MUSIC/Alsarah & the Nubatones/(2016) Manara/Alsarah & the Nubatones - (2016) Manara - 08. Ya Watan (1).flac","MISSING","MD5=b0c2570165c6b5353dab5603c4fc1fe1",""
"Volumes/dotad/MUSIC/_quarantine_from_gemini/Alsarah & the Nubatones/(2016) Manara/Alsarah & the Nubatones - (2016) Manara - 11. 3roos Elneel (1).flac","/Volumes/dotad/MUSIC/Volumes/dotad/MUSIC/_quarantine_from_gemini/Alsarah & the Nubatones/(2016) Manara/Alsarah & the Nubatones - (2016) Manara - 11. 3roos Elneel (1).flac","MISSING","",""
"/Volumes/dotad/MUSIC/_quarantine_from_gemini/Alsarah & the Nubatones/(2016) Manara/Alsarah & the Nubatones - (2016) Manara - 14. Safr Minni (1).flac","/Volumes/dotad/MUSIC/Alsarah & the Nubatones/(2016) Manara/Alsarah & the Nubatones - (2016) Manara - 14. Safr Minni (1).flac","MISSING","MD5=f6da723c594aaeeeb0a92d682bc38e20",""
"/Volumes/dotad/MUSIC/_quarantine_from_gemini/Alsarah & the Nubatones/(2016) Manara/Alsarah & the Nubatones - (2016) Manara - 03. Alforac (1).flac","/Volumes/dotad/MUSIC/Alsarah & the Nubatones/(2016) Manara/Alsarah & the Nubatones - (2016) Manara - 03. Alforac (1).flac","MISSING","MD5=3b4d4f8460b375de610fa222fc7f3d6f",""
"Volumes/dotad/MUSIC/_quarantine_from_gemini/Alsarah & the Nubatones/(2016) Manara/Alsarah & the Nubatones - (2016) Manara - 13. Fulani (1).flac","/Volumes/dotad/MUSIC/Volumes/dotad/MUSIC/_quarantine_from_gemini/Alsarah & the Nubatones/(2016) Manara/Alsarah & the Nubatones - (2016) Manara - 13. Fulani (1).flac","MISSING","",""
"/Volumes/dotad/MUSIC/_quarantine_from_gemini/Alsarah & the Nubatones/(2016) Manara/Alsarah & the Nubatones - (2016) Manara - 01. Salam Nubia (1).flac","/Volumes/dotad/MUSIC/Alsarah & the Nubatones/(2016) Manara/Alsarah & the Nubatones - (2016) Manara - 01. Salam Nubia (1).flac","MISSING","MD5=004c0a9ee228c0ca2b5409556da89af4",""
"Volumes/dotad/MUSIC/_quarantine_from_gemini/Scoobert Doobert/(2021) Big Hug/Scoobert Doobert - (2021) Big Hug - 10. Scared to Reunite (1).flac","/Volumes/dotad/MUSIC/Volumes/dotad/MUSIC/_quarantine_from_gemini/Scoobert Doobert/(2021) Big Hug/Scoobert Doobert - (2021) Big Hug - 10. Scared to Reunite (1).flac","MISSING","",""
"/Volumes/dotad/MUSIC/_quarantine_from_gemini/Scoobert Doobert/(2020) Masks and Monsters/Scoobert Doobert - (2020) Masks and Monsters - 09. Quarantine and Chill (1).flac","/Volumes/dotad/MUSIC/Scoobert Doobert/(2020) Masks and Monsters/Scoobert Doobert - (2020) Masks and Monsters - 09. Quarantine and Chill (1).flac","MISSING","MD5=1d1aa18b963c8ca02a81c32d73383732",""
"/Volumes/dotad/MUSIC/_quarantine_from_gemini/Scoobert Doobert/(2020) Masks and Monsters/Scoobert Doobert - (2020) Masks and Monsters - 11. Shaggy's Anthem (1).flac","/Volumes/dotad/MUSIC/Scoobert Doobert/(2020) Masks and Monsters/Scoobert Doobert - (2020) Masks and Monsters - 11. Shaggy's Anthem (1).flac","MISSING","MD5=4905f74bf06ecc0357b643982ef5a36d",""
"Volumes/dotad/MUSIC/_quarantine_from_gemini/عمرو دياب/(2004) ليلي نهاري/عمرو دياب - (2004) ليلي نهاري - 07. خلينا نشوفك (1).flac","/Volumes/dotad/MUSIC/Volumes/dotad/MUSIC/_quarantine_from_gemini/عمرو دياب/(2004) ليلي نهاري/عمرو دياب - (2004) ليلي نهاري - 07. خلينا نشوفك (1).flac","MISSING","",""
"/Volumes/dotad/MUSIC/_quarantine_from_gemini/David August/(2019) Elysian Fields EP/David August - (2019) Elysian Fields EP - 01. Florence (Rafael Anton Irisarri Deconstruction) (1).flac","/Volumes/dotad/MUSIC/David August/(2019) Elysian Fields EP/David August - (2019) Elysian Fields EP - 01. Florence (Rafael Anton Irisarri Deconstruction) (1).flac","MISSING","MD5=96d5664af6531ca37787162b8fb2a554",""
"lumes/dotad/MUSIC/_quarantine_from_gemini/G.O.D. Pt. III & Twiz the Beat Pro/(2019) Quarantine/G.O.D. Pt. III & Twiz the Beat Pro - (2019) Quarantine - 14. M.O.B.B 4 Life (1).flac","/Volumes/dotad/MUSIC/lumes/dotad/MUSIC/_quarantine_from_gemini/G.O.D. Pt. III & Twiz the Beat Pro/(2019) Quarantine/G.O.D. Pt. III & Twiz the Beat Pro - (2019) Quarantine - 14. M.O.B.B 4 Life (1).flac","MISSING","",""
"/Volumes/dotad/MUSIC/_quarantine_from_gemini/Amine Doukali/(2022) Tamally maak (feat. Marina Barskaya)/Amine Doukali - (2022) Tamally maak (feat. Marina Barskaya) - 01. Tamally maak (1).flac","/Volumes/dotad/MUSIC/Amine Doukali/(2022) Tamally maak (feat. Marina Barskaya)/Amine Doukali - (2022) Tamally maak (feat. Marina Barskaya) - 01. Tamally maak (1).flac","MISSING","MD5=9ca7ee61e5ce1b78d76649b279f49e36",""
"Volumes/dotad/MUSIC/_quarantine_from_gemini/Soundtrack/(1994) Quarantine/Soundtrack - (1994) Quarantine - 10. Whirlwind (1).flac","/Volumes/dotad/MUSIC/Volumes/dotad/MUSIC/_quarantine_from_gemini/Soundtrack/(1994) Quarantine/Soundtrack - (1994) Quarantine - 10. Whirlwind (1).flac","MISSING","",""
"/Volumes/dotad/MUSIC/_quarantine_from_gemini/Soundtrack/(1994) Quarantine/Soundtrack - (1994) Quarantine - 12. Now You Know (3).flac","/Volumes/dotad/MUSIC/Soundtrack/(1994) Quarantine/Soundtrack - (1994) Quarantine - 12. Now You Know (3).flac","MISSING","MD5=1c9e28beaf2912acfdc05fabc5fc774a",""
"Volumes/dotad/MUSIC/_quarantine_from_gemini/Morcheeba - (2002) Charango - 02-02. Otherwise 2.flac","/Volumes/dotad/MUSIC/Volumes/dotad/MUSIC/_quarantine_from_gemini/Morcheeba - (2002) Charango - 02-02. Otherwise 2.flac","MISSING","",""
"/Volumes/dotad/MUSIC/_quarantine_from_gemini/Volatile/(1996) Quarantine EP/Volatile - (1996) Quarantine EP - 07. Scarred (1).flac","/Volumes/dotad/MUSIC/Volatile/(1996) Quarantine EP/Volatile - (1996) Quarantine EP - 07. Scarred (1).flac","MISSING","MD5=f66e8bfc5ee78bfdac340e2c14a7f462",""
"/Volumes/dotad/MUSIC/_quarantine_from_gemini/Volatile/(1996) Quarantine EP/Volatile - (1996) Quarantine EP - 06. Dust (2).flac","/Volumes/dotad/MUSIC/Volatile/(1996) Quarantine EP/Volatile - (1996) Quarantine EP - 06. Dust (2).flac","MISSING","MD5=87592eb44c10283038d4ace72243cdb9",""
"Volumes/dotad/MUSIC/_quarantine_from_gemini/Volatile/(1996) Quarantine EP/Volatile - (1996) Quarantine EP - 06. Dust (1).flac","/Volumes/dotad/MUSIC/Volumes/dotad/MUSIC/_quarantine_from_gemini/Volatile/(1996) Quarantine EP/Volatile - (1996) Quarantine EP - 06. Dust (1).flac","MISSING","",""
"/Volumes/dotad/MUSIC/_quarantine_from_gemini/Soulwax/(2025) All Systems Are Lying/Soulwax - (2025) All Systems Are Lying - 02. Run Free (1).flac","/Volumes/dotad/MUSIC/Soulwax/(2025) All Systems Are Lying/Soulwax - (2025) All Systems Are Lying - 02. Run Free (1).flac","MISSING","MD5=e62d7c350f0db4d21487fe1d0a108be8",""
"lumes/dotad/MUSIC/_quarantine_from_gemini/Soulwax/(2025) All Systems Are Lying/Soulwax - (2025) All Systems Are Lying - 06. Gimme a Reason (1).flac","/Volumes/dotad/MUSIC/lumes/dotad/MUSIC/_quarantine_from_gemini/Soulwax/(2025) All Systems Are Lying/Soulwax - (2025) All Systems Are Lying - 06. Gimme a Reason (1).flac","MISSING","",""
"/Volumes/dotad/MUSIC/_quarantine_from_gemini/El Búho/(2018) Tributaries: A Remix Album/El Búho - (2018) Tributaries: A Remix Album - 10. 3roos Elneel (El Búho remix) (1).flac","/Volumes/dotad/MUSIC/El Búho/(2018) Tributaries: A Remix Album/El Búho - (2018) Tributaries: A Remix Album - 10. 3roos Elneel (El Búho remix) (1).flac","MISSING","MD5=aa9d68f373e7833dfcb8f62e571b55f7",""
"Volumes/dotad/MUSIC/_quarantine_from_gemini/Akram Hosny/(2021) Law Kont/Akram Hosny - (2021) Law Kont - 01. Law Kont (1).flac","/Volumes/dotad/MUSIC/Volumes/dotad/MUSIC/_quarantine_from_gemini/Akram Hosny/(2021) Law Kont/Akram Hosny - (2021) Law Kont - 01. Law Kont (1).flac","MISSING","",""
"/Volumes/dotad/MUSIC/_quarantine_from_gemini/_Recovered_from_DUPES_CHECK/Alanis Morissette & Carly Simon/(2025) Coming Around Again/Alanis Morissette & Carly Simon - (2025) Coming Around Again - 01. Coming Around Again (2).flac","/Volumes/dotad/MUSIC/_Recovered_from_DUPES_CHECK/Alanis Morissette & Carly Simon/(2025) Coming Around Again/Alanis Morissette & Carly Simon - (2025) Coming Around Again - 01. Coming Around Again (2).flac","MISSING","MD5=8aec25acf0fd2bb3eb28296f79689a00",""
"olumes/dotad/MUSIC/_quarantine_from_gemini/almost monday/(2022) sunburn/almost monday - (2022) sunburn - 01. sunburn (1).flac","/Volumes/dotad/MUSIC/olumes/dotad/MUSIC/_quarantine_from_gemini/almost monday/(2022) sunburn/almost monday - (2022) sunburn - 01. sunburn (1).flac","MISSING","",""
"/Volumes/dotad/MUSIC/_quarantine_from_gemini/Damian Lazarus/(2025) Magickal/Damian Lazarus - (2025) Magickal - 04. Falling Down (1).flac","/Volumes/dotad/MUSIC/Damian Lazarus/(2025) Magickal/Damian Lazarus - (2025) Magickal - 04. Falling Down (1).flac","MISSING","MD5=21aedf6ef155c783431be7e4160e6755",""
"Volumes/dotad/MUSIC/_quarantine_from_gemini/Alex Tomb/(2008) The Gardens Of Babylon/Alex Tomb - (2008) The Gardens Of Babylon - 03. The Gardens Of Babylon (1).flac","/Volumes/dotad/MUSIC/Volumes/dotad/MUSIC/_quarantine_from_gemini/Alex Tomb/(2008) The Gardens Of Babylon/Alex Tomb - (2008) The Gardens Of Babylon - 03. The Gardens Of Babylon (1).flac","MISSING","",""
"/Volumes/dotad/MUSIC/_quarantine_from_gemini/Cut Copy/(2017) Black Rainbows (single)/Cut Copy - (2017) Black Rainbows (single) - 01. Black Rainbows (Edit).flac","/Volumes/dotad/MUSIC/Cut Copy/(2017) Black Rainbows (single)/Cut Copy - (2017) Black Rainbows (single) - 01. Black Rainbows (Edit).flac","MISSING","MD5=b5e3a6c003e6be2a4f2139f6cdf2dc94",""
"Volumes/dotad/MUSIC/_quarantine_from_gemini/Cut Copy/(2020) Freeze, Melt/Cut Copy - (2020) Freeze, Melt - 08. In Transit.flac","/Volumes/dotad/MUSIC/Volumes/dotad/MUSIC/_quarantine_from_gemini/Cut Copy/(2020) Freeze, Melt/Cut Copy - (2020) Freeze, Melt - 08. In Transit.flac","MISSING","",""
"/Volumes/dotad/MUSIC/_quarantine_from_gemini/Cut Copy/(2020) Freeze, Melt/Cut Copy - (2020) Freeze, Melt - 03. Love Is All We Share.flac","/Volumes/dotad/MUSIC/Cut Copy/(2020) Freeze, Melt/Cut Copy - (2020) Freeze, Melt - 03. Love Is All We Share.flac","MISSING","MD5=0a310997d33b7b348f59f33095091570",""
"es/dotad/MUSIC/_quarantine_from_gemini/Morcheeba/(2025) Escape the Chaos/Morcheeba - (2025) Escape the Chaos - 08. Cooler Heads (1).flac","/Volumes/dotad/MUSIC/es/dotad/MUSIC/_quarantine_from_gemini/Morcheeba/(2025) Escape the Chaos/Morcheeba - (2025) Escape the Chaos - 08. Cooler Heads (1).flac","MISSING","",""
"/Volumes/dotad/MUSIC/_quarantine_from_gemini/Morcheeba/(2025) Escape the Chaos/Morcheeba - (2025) Escape the Chaos - 03. Peace of Me (1).flac","/Volumes/dotad/MUSIC/Morcheeba/(2025) Escape the Chaos/Morcheeba - (2025) Escape the Chaos - 03. Peace of Me (1).flac","MISSING","MD5=f2b7c475aac6717aa371318d187893f9",""
"lumes/dotad/MUSIC/_quarantine_from_gemini/AKZENTH/(2022) Night/AKZENTH - (2022) Night - 01. Night (1).flac","/Volumes/dotad/MUSIC/lumes/dotad/MUSIC/_quarantine_from_gemini/AKZENTH/(2022) Night/AKZENTH - (2022) Night - 01. Night (1).flac","MISSING","",""
"/Volumes/dotad/MUSIC/_quarantine_from_gemini/Altın Gün/(2021) Yol/Altın Gün - (2021) Yol - 12. Esmerim Güzelim (1).flac","/Volumes/dotad/MUSIC/Altın Gün/(2021) Yol/Altın Gün - (2021) Yol - 12. Esmerim Güzelim (1).flac","MISSING","MD5=7e464cdcee0b26a4a237f2738c801ebe",""
"Volumes/dotad/MUSIC/_quarantine_from_gemini/Altın Gün/(2018) On/Altın Gün - (2018) On - 10. Şeker Oğlan (1).flac","/Volumes/dotad/MUSIC/Volumes/dotad/MUSIC/_quarantine_from_gemini/Altın Gün/(2018) On/Altın Gün - (2018) On - 10. Şeker Oğlan (1).flac","MISSING","",""
"/Volumes/dotad/MUSIC/_quarantine_from_gemini/Altın Gün/(2019) Gece/Altın Gün - (2019) Gece - 07. Kolbastı (1).flac","/Volumes/dotad/MUSIC/Altın Gün/(2019) Gece/Altın Gün - (2019) Gece - 07. Kolbastı (1).flac","MISSING","MD5=eeeb08be6b4ecb02ff7f895fc9c438dd",""
"Volumes/dotad/MUSIC/_quarantine_from_gemini/Altın Gün/(2019) Gece/Altın Gün - (2019) Gece - 05. Şoför Bey (1).flac","/Volumes/dotad/MUSIC/Volumes/dotad/MUSIC/_quarantine_from_gemini/Altın Gün/(2019) Gece/Altın Gün - (2019) Gece - 05. Şoför Bey (1).flac","MISSING","",""
"/Volumes/dotad/MUSIC/_quarantine_from_gemini/Altın Gün/(2019) Gece/Altın Gün - (2019) Gece - 02. Vay Dünya (1).flac","/Volumes/dotad/MUSIC/Altın Gün/(2019) Gece/Altın Gün - (2019) Gece - 02. Vay Dünya (1).flac","MISSING","MD5=508c0d170bd4a7fc7b0877cbd5e2bae6",""
"Volumes/dotad/MUSIC/_quarantine_from_gemini/Altın Gün/(2019) Gece/Altın Gün - (2019) Gece - 06. Derdimi Dökersem (1).flac","/Volumes/dotad/MUSIC/Volumes/dotad/MUSIC/_quarantine_from_gemini/Altın Gün/(2019) Gece/Altın Gün - (2019) Gece - 06. Derdimi Dökersem (1).flac","MISSING","",""
"/Volumes/dotad/MUSIC/_quarantine_from_gemini/Altın Gün/(2019) Gece/Altın Gün - (2019) Gece - 10. Süpürgesi Yoncadan (1).flac","/Volumes/dotad/MUSIC/Altın Gün/(2019) Gece/Altın Gün - (2019) Gece - 10. Süpürgesi Yoncadan (1).flac","MISSING","MD5=68dcdd5318ddb22110d67b284a2c7afa",""
"Volumes/dotad/MUSIC/_quarantine_from_gemini/Altın Gün/(2019) Gece/Altın Gün - (2019) Gece - 08. Ervah-ı Ezelde (1).flac","/Volumes/dotad/MUSIC/Volumes/dotad/MUSIC/_quarantine_from_gemini/Altın Gün/(2019) Gece/Altın Gün - (2019) Gece - 08. Ervah-ı Ezelde (1).flac","MISSING","",""
"/Volumes/dotad/MUSIC/_quarantine_from_gemini/Altın Gün/(2019) Gece/Altın Gün - (2019) Gece - 01. Yolcu (1).flac","/Volumes/dotad/MUSIC/Altın Gün/(2019) Gece/Altın Gün - (2019) Gece - 01. Yolcu (1).flac","MISSING","MD5=702a685f2a5368690742b95bff99f5a4",""
"/Volumes/dotad/MUSIC/_quarantine_from_gemini/Altın Gün/(2019) Gece/Altın Gün - (2019) Gece - 04. Anlatmam Derdimi (1).flac","/Volumes/dotad/MUSIC/Altın Gün/(2019) Gece/Altın Gün - (2019) Gece - 04. Anlatmam Derdimi (1).flac","MISSING","MD5=ade3b82f22ac8ae668a10a3eab791585",""
"Volumes/dotad/MUSIC/_quarantine_from_gemini/Altın Gün/(2019) Gece/Altın Gün - (2019) Gece - 09. Gesi Bağları (1).flac","/Volumes/dotad/MUSIC/Volumes/dotad/MUSIC/_quarantine_from_gemini/Altın Gün/(2019) Gece/Altın Gün - (2019) Gece - 09. Gesi Bağları (1).flac","MISSING","",""
"/Volumes/dotad/MUSIC/_quarantine_from_gemini/John Maus/(2025) Later Than You Think/John Maus - (2025) Later Than You Think - 03. Reconstruct Your Life (1).flac","/Volumes/dotad/MUSIC/John Maus/(2025) Later Than You Think/John Maus - (2025) Later Than You Think - 03. Reconstruct Your Life (1).flac","MISSING","MD5=75d85a63d24b6310823e267911ad68aa",""
"lumes/dotad/MUSIC/_quarantine_from_gemini/John Maus/(2025) Later Than You Think/John Maus - (2025) Later Than You Think - 04. Shout (1).flac","/Volumes/dotad/MUSIC/lumes/dotad/MUSIC/_quarantine_from_gemini/John Maus/(2025) Later Than You Think/John Maus - (2025) Later Than You Think - 04. Shout (1).flac","MISSING","",""
"/Volumes/dotad/MUSIC/_quarantine_from_gemini/John Maus/(2025) Later Than You Think/John Maus - (2025) Later Than You Think - 06. I Hate Antichrist (1).flac","/Volumes/dotad/MUSIC/John Maus/(2025) Later Than You Think/John Maus - (2025) Later Than You Think - 06. I Hate Antichrist (1).flac","MISSING","MD5=6a02a6562c7ce3b4f4b075937b70d112",""
