repaired,relative,music_exists,repaired_size,music_size,repaired_dur,music_dur,pcm_same,recommendation
/Volumes/dotad/ReallyRepaired/Joe Goddard - (2017) Ordinary Madness (RAC mix) (single) - 03. Ordinary Madness (RAC mix) [dub].repaired.flac,Joe Goddard - (2017) Ordinary Madness (RAC mix) (single) - 03. Ordinary Madness (RAC mix) [dub].repaired.flac,True,62527194,62527194,324.735488,324.735488,NA,KEEP_MUSIC (duplicate)
"/Volumes/dotad/ReallyRepaired/Lou Donaldson - (2014) Sweet Lou - 01. You're Welcome, Stop On By.flac","Lou Donaldson - (2014) Sweet Lou - 01. You're Welcome, Stop On By.flac",True,160057990,160057990,236.770458,236.770458,NA,KEEP_MUSIC (duplicate)
/Volumes/dotad/ReallyRepaired/Soapkills - (2017) Bater - 03. Zizi.repaired.flac,Soapkills - (2017) Bater - 03. Zizi.repaired.flac,False,24676305,,267.961723,,NA,COPY->MUSIC
/Volumes/dotad/ReallyRepaired/Flight Facilities - (2011) Foreign Language (Remixes) (single) - 07. Feelin.flac,Flight Facilities - (2011) Foreign Language (Remixes) (single) - 07. Feelin.flac,True,40213571,40213571,376.6,376.6,NA,KEEP_MUSIC (duplicate)
/Volumes/dotad/ReallyRepaired/Octo Octa - (2019) For Lovers - 03. Loops for Healing.flac,Octo Octa - (2019) For Lovers - 03. Loops for Healing.flac,True,57663841,57663841,327.457642,327.457642,NA,KEEP_MUSIC (duplicate)
"/Volumes/dotad/ReallyRepaired/Jan Garbarek, Keith Jarrett, Palle Danielsson, Jon Christensen - (2020) Belonging - 01. Spiral Dance.flac","Jan Garbarek, Keith Jarrett, Palle Danielsson, Jon Christensen - (2020) Belonging - 01. Spiral Dance.flac",True,163887822,163887822,256.301521,256.301521,NA,KEEP_MUSIC (duplicate)
/Volumes/dotad/ReallyRepaired/Pépite - (2021) Rêve Réalité - 03. Rêve Réalité.flac,Pépite - (2021) Rêve Réalité - 03. Rêve Réalité.flac,True,37518577,37518577,188.333333,188.333333,NA,KEEP_MUSIC (duplicate)
/Volumes/dotad/ReallyRepaired/Sufjan Stevens - (2015) Exploding Whale - 02. Fourth of July (PPD remix).flac,Sufjan Stevens - (2015) Exploding Whale - 02. Fourth of July (PPD remix).flac,False,54335746,,302.86093,,NA,COPY->MUSIC
"/Volumes/dotad/ReallyRepaired/Ludwig van Beethoven; Igor Levit - (2019) Complete Piano Sonatas - 04-09. Piano Sonata no. 14 in C-sharp minor, op. 27 no. 2 'Moonlight': I. Adagio sostenuto.flac","Ludwig van Beethoven; Igor Levit - (2019) Complete Piano Sonatas - 04-09. Piano Sonata no. 14 in C-sharp minor, op. 27 no. 2 'Moonlight': I. Adagio sostenuto.flac",True,76040519,76040519,313.525854,313.525854,NA,KEEP_MUSIC (duplicate)
/Volumes/dotad/ReallyRepaired/Various Artists - (2020) Toolroom House Party Vol. 2 - 01-22. Rise (extended mix).repaired.flac,Various Artists - (2020) Toolroom House Party Vol. 2 - 01-22. Rise (extended mix).repaired.flac,False,76313702,,429.268299,,NA,COPY->MUSIC
/Volumes/dotad/ReallyRepaired/Grimes - (2020) Miss Anthropocene - 11. We Appreciate Power.flac,Grimes - (2020) Miss Anthropocene - 11. We Appreciate Power.flac,True,78278452,78278452,356.27068,356.27068,NA,KEEP_MUSIC (duplicate)
/Volumes/dotad/ReallyRepaired/David Bowie - (1983) Let's Dance - 06. Criminal World.flac,David Bowie - (1983) Let's Dance - 06. Criminal World.flac,True,153789132,153789132,265.007365,265.007365,NA,KEEP_MUSIC (duplicate)
/Volumes/dotad/ReallyRepaired/The Futureheads - (2019) Powers - 02. Good Night Out.flac,The Futureheads - (2019) Powers - 02. Good Night Out.flac,False,13083157,,59.26941,,NA,COPY->MUSIC
/Volumes/dotad/ReallyRepaired/Zoot Woman - (2003) Zoot Woman - 02. Taken It All.flac,Zoot Woman - (2003) Zoot Woman - 02. Taken It All.flac,False,20581021,,189.28,,NA,COPY->MUSIC
/Volumes/dotad/ReallyRepaired/Namito - (2009) Eleven Remixed - 05. Zorro (Phonique & Tigerskin remix).repaired.flac,Namito - (2009) Eleven Remixed - 05. Zorro (Phonique & Tigerskin remix).repaired.flac,True,49039137,49039137,441.585782,441.585782,NA,KEEP_MUSIC (duplicate)
/Volumes/dotad/ReallyRepaired/Domino - (2008) Super Eurobeat Presents Domino Special Collection Vol. 1 - 08. Euroboy (extended version).repaired.flac,Domino - (2008) Super Eurobeat Presents Domino Special Collection Vol. 1 - 08. Euroboy (extended version).repaired.flac,True,46638531,46638531,378.559388,378.559388,NA,KEEP_MUSIC (duplicate)
/Volumes/dotad/ReallyRepaired/The xx - (2009) Basic Space - 01. Basic Space (Jamie xx Space Bass remix).flac,The xx - (2009) Basic Space - 01. Basic Space (Jamie xx Space Bass remix).flac,False,33483028,,432.586667,,NA,COPY->MUSIC
/Volumes/dotad/ReallyRepaired/Iron & Wine - (2024) Light Verse - 09. Bag of Cats.flac,Iron & Wine - (2024) Light Verse - 09. Bag of Cats.flac,True,71871988,71871988,203.328479,203.328479,NA,KEEP_MUSIC (duplicate)
/Volumes/dotad/ReallyRepaired/Jack White - (2022) Entering Heaven Alive - 07. A Tree on Fire From Within.flac,Jack White - (2022) Entering Heaven Alive - 07. A Tree on Fire From Within.flac,True,58798032,58798032,179.958188,179.958188,NA,KEEP_MUSIC (duplicate)
/Volumes/dotad/ReallyRepaired/Various Interprets - (2025) dolly 15YRS - 08. Chasm.flac,Various Interprets - (2025) dolly 15YRS - 08. Chasm.flac,False,74311951,,360.666708,,NA,COPY->MUSIC
/Volumes/dotad/ReallyRepaired/VanJess - (2021) Homegrown - 02. Slow Down.flac,VanJess - (2021) Homegrown - 02. Slow Down.flac,False,49594222,,229.0,,NA,COPY->MUSIC
/Volumes/dotad/ReallyRepaired/Queen Kwong - (2024) STRANGERS EP - 01. Sympathy For The Devil.flac,Queen Kwong - (2024) STRANGERS EP - 01. Sympathy For The Devil.flac,False,63280419,,272.584563,,NA,COPY->MUSIC
/Volumes/dotad/ReallyRepaired/Yelle - (2007) Pop-up - 05. Mal poli.repaired.flac,Yelle - (2007) Pop-up - 05. Mal poli.repaired.flac,False,20214765,,174.68,,NA,COPY->MUSIC
/Volumes/dotad/ReallyRepaired/Tonic Walter - (2025) Gone - 01. Gone.flac,Tonic Walter - (2025) Gone - 01. Gone.flac,False,55930658,,310.0,,NA,COPY->MUSIC
/Volumes/dotad/ReallyRepaired/The Felice Brothers - (2024) Valley of Abandoned Songs - 03. New York by Moonlight.flac,The Felice Brothers - (2024) Valley of Abandoned Songs - 03. New York by Moonlight.flac,False,8132683,,40.608,,NA,COPY->MUSIC
/Volumes/dotad/ReallyRepaired/Various Artists - (2018) !Kollections 07: 2018 - 08. Mutant DX.repaired (3).flac,Various Artists - (2018) !Kollections 07: 2018 - 08. Mutant DX.repaired (3).flac,False,2913604,,32.391837,,NA,COPY->MUSIC
"/Volumes/dotad/ReallyRepaired/Gustav Mahler; San Francisco Symphony, Michael Tilson Thomas, Laura Claycomb - (2003) Symphony no. 4 - 02. Symphony no. 4 in G major: II. Im gemächlicher Bewegung. Ohne Hast.flac","Gustav Mahler; San Francisco Symphony, Michael Tilson Thomas, Laura Claycomb - (2003) Symphony no. 4 - 02. Symphony no. 4 in G major: II. Im gemächlicher Bewegung. Ohne Hast.flac",True,167632034,167632034,590.552958,590.552958,NA,KEEP_MUSIC (duplicate)
/Volumes/dotad/ReallyRepaired/Gorillaz feat. Tame Impala and Bootie Brown - (2022) New Gold (single) - 01. New Gold.flac,Gorillaz feat. Tame Impala and Bootie Brown - (2022) New Gold (single) - 01. New Gold.flac,True,46167851,46167851,215.149773,215.149773,NA,KEEP_MUSIC (duplicate)
/Volumes/dotad/ReallyRepaired/Nirvana - (2011) Nevermind - 01. Smells Like Teen Spirit.flac,Nirvana - (2011) Nevermind - 01. Smells Like Teen Spirit.flac,True,227138706,227138706,321.195573,321.195573,NA,KEEP_MUSIC (duplicate)
/Volumes/dotad/ReallyRepaired/Vitalic - (2009) Poison Lips - 04. Poison Lips.repaired.flac,Vitalic - (2009) Poison Lips - 04. Poison Lips.repaired.flac,False,31778572,,234.24,,NA,COPY->MUSIC
/Volumes/dotad/ReallyRepaired/Yaya Bey - (2016) The Many Alter-Egos of Trill'eta Brown EP - 01. A Train (Intro).repaired.flac,Yaya Bey - (2016) The Many Alter-Egos of Trill'eta Brown EP - 01. A Train (Intro).repaired.flac,False,10337499,,84.706395,,NA,COPY->MUSIC
/Volumes/dotad/ReallyRepaired/Ø - (2025) Sysivalo - 02. Etude 2.repaired.flac,Ø - (2025) Sysivalo - 02. Etude 2.repaired.flac,False,9263422,,154.857687,,NA,COPY->MUSIC
/Volumes/dotad/ReallyRepaired/Various Artists - (2020) Toolroom House Party Vol. 2 - 01-47. Feel (extended mix).repaired.flac,Various Artists - (2020) Toolroom House Party Vol. 2 - 01-47. Feel (extended mix).repaired.flac,False,42443641,,376.0,,NA,COPY->MUSIC
/Volumes/dotad/ReallyRepaired/Muddy Waters - (2016) Folk Singer - 08. Country Boy.flac,Muddy Waters - (2016) Folk Singer - 08. Country Boy.flac,True,168951328,168951328,231.003979,231.003979,NA,KEEP_MUSIC (duplicate)
/Volumes/dotad/ReallyRepaired/Trijntje Oosterhuis & Metropole Orkest - (2005) Falling Out of Love (single) - 01. Falling Out of Love.repaired.flac,Trijntje Oosterhuis & Metropole Orkest - (2005) Falling Out of Love (single) - 01. Falling Out of Love.repaired.flac,False,23236746,,236.037732,,NA,COPY->MUSIC
/Volumes/dotad/ReallyRepaired/Sufjan Stevens - (2012) Silver & Gold - 02-23. Even the Earth Will Perish and the Universe Give Way.flac,Sufjan Stevens - (2012) Silver & Gold - 02-23. Even the Earth Will Perish and the Universe Give Way.flac,False,14792639,,110.759184,,NA,COPY->MUSIC
/Volumes/dotad/ReallyRepaired/Richard Ashcroft - (2016) These People - 03. They Don't Own Me.flac,Richard Ashcroft - (2016) These People - 03. They Don't Own Me.flac,False,76875934,,348.653333,,NA,COPY->MUSIC
"/Volumes/dotad/ReallyRepaired/merci, mercy - (2022) is it me, or is it you? EP - 02. Winnie Crush.flac","merci, mercy - (2022) is it me, or is it you? EP - 02. Winnie Crush.flac",False,39725180,,174.191188,,NA,COPY->MUSIC
/Volumes/dotad/ReallyRepaired/LCD Soundsystem - (2014) The Long Goodbye: LCD Soundsystem live at Madison Square Garden - 22. Yeah.flac,LCD Soundsystem - (2014) The Long Goodbye: LCD Soundsystem live at Madison Square Garden - 22. Yeah.flac,True,256903387,256903387,781.834833,781.834833,NA,KEEP_MUSIC (duplicate)
/Volumes/dotad/ReallyRepaired/Vendredi sur Mer - (2019) Premiers émois - 09. Dolan.flac,Vendredi sur Mer - (2019) Premiers émois - 09. Dolan.flac,False,30688810,,251.813333,,NA,COPY->MUSIC
"/Volumes/dotad/ReallyRepaired/MGMT - (2013) MGMT - 08. I Love You Too, Death.flac","MGMT - (2013) MGMT - 08. I Love You Too, Death.flac",True,134923694,134923694,350.277333,350.277333,NA,KEEP_MUSIC (duplicate)
/Volumes/dotad/ReallyRepaired/Pink Floyd - (1994) Atom Heart Mother - 05. Alan's Psychedelic Breakfast: a) Rise and Shine  b) Sunny Side Up  c) Morning Glory.repaired.flac,Pink Floyd - (1994) Atom Heart Mother - 05. Alan's Psychedelic Breakfast: a) Rise and Shine  b) Sunny Side Up  c) Morning Glory.repaired.flac,True,552873041,552873041,780.146667,780.146667,NA,KEEP_MUSIC (duplicate)
/Volumes/dotad/ReallyRepaired/Prins Thomas - (2016) Principe del norte - 01-05. D.flac,Prins Thomas - (2016) Principe del norte - 01-05. D.flac,True,73752592,73752592,712.229274,712.229274,NA,KEEP_MUSIC (duplicate)
/Volumes/dotad/ReallyRepaired/The Roots - (2004) The Tipping Point - 10. Why (What's Goin On?).flac,The Roots - (2004) The Tipping Point - 10. Why (What's Goin On?).flac,False,26331248,,218.697143,,NA,COPY->MUSIC
/Volumes/dotad/ReallyRepaired/Stéphane Pompougnac - (2004) Hôtel Costes: Best of... - 09. Where Do I Begin (Awayteam mix).flac,Stéphane Pompougnac - (2004) Hôtel Costes: Best of... - 09. Where Do I Begin (Awayteam mix).flac,False,13448951,,62.693878,,NA,COPY->MUSIC
"/Volumes/dotad/ReallyRepaired/Grimes - (2015) Art Angels - 11. World Princess, part II (1).flac","Grimes - (2015) Art Angels - 11. World Princess, part II (1).flac",True,102921631,102921631,341.155667,341.155667,NA,KEEP_MUSIC (duplicate)
/Volumes/dotad/ReallyRepaired/Sufjan Stevens - (2021) Convocations - 49. Incantation IX.flac,Sufjan Stevens - (2021) Convocations - 49. Incantation IX.flac,False,23282274,,268.750042,,NA,COPY->MUSIC
"/Volumes/dotad/ReallyRepaired/Tiga - (2009) Ciao! - 09. Speak, Memory.flac","Tiga - (2009) Ciao! - 09. Speak, Memory.flac",False,30907018,,221.386667,,NA,COPY->MUSIC
/Volumes/dotad/ReallyRepaired/DAM - (2012) Dabke on the Moon - 02. I'm Not a Traitor (1).flac,DAM - (2012) Dabke on the Moon - 02. I'm Not a Traitor (1).flac,True,28942935,28942935,241.16,241.16,NA,KEEP_MUSIC (duplicate)
/Volumes/dotad/ReallyRepaired/Zedbazi - (2019) Zedbazi - 20. Talafaate Jang.flac,Zedbazi - (2019) Zedbazi - 20. Talafaate Jang.flac,False,38011227,,358.712993,,NA,COPY->MUSIC
/Volumes/dotad/ReallyRepaired/Miles Davis - (1987) Sorcerer - 05. Limbo.flac,Miles Davis - (1987) Sorcerer - 05. Limbo.flac,True,331164462,331164462,441.810833,441.810833,NA,KEEP_MUSIC (duplicate)
/Volumes/dotad/ReallyRepaired/Phoenix - (2009) Wolfgang Amadeus Phoenix - 02-13. Fences (Chairlift remix).repaired.flac,Phoenix - (2009) Wolfgang Amadeus Phoenix - 02-13. Fences (Chairlift remix).repaired.flac,True,46366123,46366123,246.52,246.52,NA,KEEP_MUSIC (duplicate)
/Volumes/dotad/ReallyRepaired/Soulwax - (2018) ESSENTIAL - 02. Essential Two.flac,Soulwax - (2018) ESSENTIAL - 02. Essential Two.flac,False,57938383,,303.746667,,NA,COPY->MUSIC
/Volumes/dotad/ReallyRepaired/Franc Moody & NATURE - (XXXX) The Light You Bring (feat. NATURE) - Single - 01. The Light You Bring (feat. NATURE).flac,Franc Moody & NATURE - (XXXX) The Light You Bring (feat. NATURE) - Single - 01. The Light You Bring (feat. NATURE).flac,True,23794551,23794551,230.379365,230.379365,NA,KEEP_MUSIC (duplicate)
/Volumes/dotad/ReallyRepaired/Nicolas Jaar - (2024) Archivos de Radio Piedras - 07. Archivos de Radio Piedras: lo que no se muestra.flac,Nicolas Jaar - (2024) Archivos de Radio Piedras - 07. Archivos de Radio Piedras: lo que no se muestra.flac,True,256082326,256082326,837.101042,837.101042,NA,KEEP_MUSIC (duplicate)
/Volumes/dotad/ReallyRepaired/Smerz - (2024) Allina - 05. Dance Rehearsal.repaired.flac,Smerz - (2024) Allina - 05. Dance Rehearsal.repaired.flac,False,5787119,,31.348934,,NA,COPY->MUSIC
/Volumes/dotad/ReallyRepaired/Rufus Wainwright - (2023) Folkocracy - 11. Hush Little Baby.repaired.flac,Rufus Wainwright - (2023) Folkocracy - 11. Hush Little Baby.repaired.flac,False,85476874,,234.146667,,NA,COPY->MUSIC
/Volumes/dotad/ReallyRepaired/Ramones - (1977) Rocket to Russia - 06. Sheena Is a Punk Rocker.repaired.flac,Ramones - (1977) Rocket to Russia - 06. Sheena Is a Punk Rocker.repaired.flac,False,124025179,,169.92,,NA,COPY->MUSIC
/Volumes/dotad/ReallyRepaired/Pépite - (2024) Les Années Lumière - 08. Très bleu.flac,Pépite - (2024) Les Années Lumière - 08. Très bleu.flac,True,44865904,44865904,234.373333,234.373333,NA,KEEP_MUSIC (duplicate)
/Volumes/dotad/ReallyRepaired/The Roots - (2021) Do You Want More?!!!??! - 31. It's Comin'.flac,The Roots - (2021) Do You Want More?!!!??! - 31. It's Comin'.flac,False,90294322,,387.505941,,NA,COPY->MUSIC
/Volumes/dotad/ReallyRepaired/Sufjan Stevens - (2012) Silver & Gold - 02-04. Happy Family Christmas.flac,Sufjan Stevens - (2012) Silver & Gold - 02-04. Happy Family Christmas.flac,False,15173862,,71.78449,,NA,COPY->MUSIC
/Volumes/dotad/ReallyRepaired/The Libertines - (2004) The Libertines - 14. What Became of the Likely Lads  France.flac,The Libertines - (2004) The Libertines - 14. What Became of the Likely Lads  France.flac,False,123617786,,355.018667,,NA,COPY->MUSIC
/Volumes/dotad/ReallyRepaired/Yagya - (2014) Sleepygirls - 01. Sleepygirl 1.repaired.flac,Yagya - (2014) Sleepygirls - 01. Sleepygirl 1.repaired.flac,False,28006466,,323.177982,,NA,COPY->MUSIC
/Volumes/dotad/ReallyRepaired/José González - (2020) Let It Carry You (Brandt Brauer Frick remix) - 01. Let It Carry You (Brandt Brauer Frick remix).flac,José González - (2020) Let It Carry You (Brandt Brauer Frick remix) - 01. Let It Carry You (Brandt Brauer Frick remix).flac,True,153414646,153414646,461.557,461.557,NA,KEEP_MUSIC (duplicate)
/Volumes/dotad/ReallyRepaired/Yaya Bey - (2021) made this on the spot - 01. made this on the spot.repaired (2).flac,Yaya Bey - (2021) made this on the spot - 01. made this on the spot.repaired (2).flac,False,35287895,,180.953875,,NA,COPY->MUSIC
"/Volumes/dotad/ReallyRepaired/Phoenix - (2001) If I Ever Feel Better - 02. ""If I Ever Feel Better, I'd Go to the Disco,"" Said the Buffalo Bunch.repaired.flac","Phoenix - (2001) If I Ever Feel Better - 02. ""If I Ever Feel Better, I'd Go to the Disco,"" Said the Buffalo Bunch.repaired.flac",True,45109743,45109743,369.466667,369.466667,NA,KEEP_MUSIC (duplicate)
/Volumes/dotad/ReallyRepaired/Phoenix - (2006) It's Never Been Like That - 02. Consolation Prizes.repaired.flac,Phoenix - (2006) It's Never Been Like That - 02. Consolation Prizes.repaired.flac,True,25039611,25039611,196.253333,196.253333,NA,KEEP_MUSIC (duplicate)
/Volumes/dotad/ReallyRepaired/Prins Thomas - (2016) Toransu EP - 04. Toransu.repaired.flac,Prins Thomas - (2016) Toransu EP - 04. Toransu.repaired.flac,True,40933480,40933480,414.616848,414.616848,NA,KEEP_MUSIC (duplicate)
